Block =  1 | Time = 0.001720 s | Bandwidth = 2.165866 GB/s
Block =  2 | Time = 0.000683 s | Bandwidth = 5.454305 GB/s
Block =  3 | Time = 0.000512 s | Bandwidth = 7.275958 GB/s
Block =  4 | Time = 0.000423 s | Bandwidth = 8.806833 GB/s
Block =  5 | Time = 0.000381 s | Bandwidth = 9.777665 GB/s
Block =  6 | Time = 0.000379 s | Bandwidth = 9.829262 GB/s
Block =  7 | Time = 0.000338 s | Bandwidth = 11.021569 GB/s
Block =  8 | Time = 0.000333 s | Bandwidth = 11.187058 GB/s
Block =  9 | Time = 0.000338 s | Bandwidth = 11.021569 GB/s
Block = 10 | Time = 0.000328 s | Bandwidth = 11.357592 GB/s
Block = 11 | Time = 0.000343 s | Bandwidth = 10.860905 GB/s
Block = 12 | Time = 0.000281 s | Bandwidth = 13.257261 GB/s
Block = 13 | Time = 0.000272 s | Bandwidth = 13.695920 GB/s
Block = 14 | Time = 0.000275 s | Bandwidth = 13.546510 GB/s
Block = 15 | Time = 0.000272 s | Bandwidth = 13.695920 GB/s
Block = 16 | Time = 0.000270 s | Bandwidth = 13.797371 GB/s
Block = 17 | Time = 0.000261 s | Bandwidth = 14.273143 GB/s
Block = 18 | Time = 0.000261 s | Bandwidth = 14.273143 GB/s
Block = 19 | Time = 0.000261 s | Bandwidth = 14.273143 GB/s
Block = 20 | Time = 0.000261 s | Bandwidth = 14.273143 GB/s
Block = 21 | Time = 0.000260 s | Bandwidth = 14.328040 GB/s
Block = 22 | Time = 0.000266 s | Bandwidth = 14.004851 GB/s
Block = 23 | Time = 0.000259 s | Bandwidth = 14.383360 GB/s
Block = 24 | Time = 0.000242 s | Bandwidth = 15.393762 GB/s
Block = 25 | Time = 0.000224 s | Bandwidth = 16.630760 GB/s
Block = 26 | Time = 0.000255 s | Bandwidth = 14.608982 GB/s
Block = 27 | Time = 0.000223 s | Bandwidth = 16.705338 GB/s
Block = 28 | Time = 0.000223 s | Bandwidth = 16.705338 GB/s
Block = 29 | Time = 0.000228 s | Bandwidth = 16.338993 GB/s
Block = 30 | Time = 0.000223 s | Bandwidth = 16.705338 GB/s
Block = 31 | Time = 0.000222 s | Bandwidth = 16.780587 GB/s
Block = 32 | Time = 0.000242 s | Bandwidth = 15.393762 GB/s
Block = 33 | Time = 0.000200 s | Bandwidth = 18.626451 GB/s
Block = 34 | Time = 0.000203 s | Bandwidth = 18.351184 GB/s
Block = 35 | Time = 0.000200 s | Bandwidth = 18.626451 GB/s
Block = 36 | Time = 0.000201 s | Bandwidth = 18.533783 GB/s
Block = 37 | Time = 0.000226 s | Bandwidth = 16.483585 GB/s
Block = 38 | Time = 0.000202 s | Bandwidth = 18.442031 GB/s
Block = 39 | Time = 0.000226 s | Bandwidth = 16.483585 GB/s
Block = 40 | Time = 0.000200 s | Bandwidth = 18.626451 GB/s
Block = 41 | Time = 0.000226 s | Bandwidth = 16.483585 GB/s
Block = 42 | Time = 0.000200 s | Bandwidth = 18.626451 GB/s
Block = 43 | Time = 0.000201 s | Bandwidth = 18.533783 GB/s
Block = 44 | Time = 0.000201 s | Bandwidth = 18.533783 GB/s
Block = 45 | Time = 0.000200 s | Bandwidth = 18.626451 GB/s
Block = 46 | Time = 0.000200 s | Bandwidth = 18.626451 GB/s
Block = 47 | Time = 0.000201 s | Bandwidth = 18.533783 GB/s
Block = 48 | Time = 0.000202 s | Bandwidth = 18.442031 GB/s
Block = 49 | Time = 0.000200 s | Bandwidth = 18.626451 GB/s
Block = 50 | Time = 0.000194 s | Bandwidth = 19.202527 GB/s
